Number,TEXT VALENCE,TEXT AROUSAL,TEXT DOMINANCE,AUDIO VALENCE,AUDIO AROUSAL,AUDIO DOMINANCE,predicted_emotion,label,consistency label,GMM_FINAL_LABEL,,,,,,,
1,0.25,0.026,-0.0112,-0.183084667,0.442931652,0.524873257,surprise,anger,0,consistent,,,,,,,
2,0.246,-0.113142857,-0.060714286,-0.601118207,0.623053789,0.642510533,surprise,anger,0,inconsistent,,,,,,,
3,0.17525,0.0445,-0.04125,-0.295094609,0.358779192,0.459693909,surprise,anger,0,consistent,,,,,,,
4,0.4425,0.052,0.3265,-0.61370945,0.65523839,0.654242039,surprise,anger,0,inconsistent,,,,,,,
5,0.325166667,0.1145,-0.037,-0.357407808,0.424494982,0.512430668,surprise,anger,0,inconsistent,,,,,,,
6,-0.1916,0.115,-0.1156,-0.647447824,0.274431705,0.358557105,fear,disgust,0,consistent,,,,,,,
7,0.0696,-0.0712,-0.112,0.060577869,0.434623361,0.43904376,surprise,disgust,0,consistent,,,,,,,modality_inconsistent    0    1
8,-0.624,0.334,-0.608,-0.328236699,0.578396559,0.564972162,anger,disgust,0,inconsistent,,,,,,,LLM_wrong
9,-0.301,0.168,-0.191,-1,0.451979637,0.52137053,anger,disgust,0,inconsistent,,,,,,,0                      255   76
10,-0.385,0.1135,-0.319,-0.281168759,0.374938726,0.45407021,anger,disgust,0,consistent,,,,,,,1                      624  332
11,0.1676,-0.184,0.1636,-0.126534641,0.280707836,0.303016782,surprise,fear,0,consistent,,,,,,,
12,0.1995,0.111,0.055,-0.546709895,0.305772305,0.349812746,surprise,fear,0,consistent,,,,,,,results
13,-0.174,0.238,0.134,-0.373494446,0.081842542,0.070351362,fear,fear,1,consistent,,,,,,,Chi-square value: 15.1855
14,-0.265333333,-0.356,-0.325333333,-0.633679032,0.683650017,0.627543449,fear,fear,1,inconsistent,,,,,,,DOF: 1
15,0.025571429,-0.164571429,-0.043142857,-0.574372411,0.654587746,0.576926827,anger,fear,0,inconsistent,,,,,,,p value: 0.0000974512
16,0.4765,0.12425,0.3655,0.358749747,0.608152151,0.664041758,happiness,happiness,1,consistent,,,,,,,
17,0.47525,0.2,0.2645,0.7045362,0.730459452,0.750911951,happiness,happiness,1,consistent,,,,,,,expected frequencies:
18,0.4195,0.3325,0.167,-0.688970447,0.579048276,0.640985012,surprise,happiness,0,inconsistent,,,,,,,[[226.06759907 104.93240093]
