ID,REC.WAV,TEXT,TEXT VALENCE,TEXT AROUSAL,TEXT DOMINANCE,AUDIO VALENCE,AUDIO AROUSAL,AUDIO DOMINANCE,label
subject 10_anger_sentence 1,subject 10_anger_sentence 1.wav,"What??? No, no, no, listen! I need this money!",0.25,0.0259999999999999,-0.0111999999999999,-0.1830846667289734,0.4429316520690918,0.5248732566833496,anger
subject 10_anger_sentence 2,subject 10_anger_sentence 2.wav,I don't care about your coffee! Please serve me!,0.246,-0.1131428571428571,-0.0607142857142857,-0.6011182069778442,0.623053789138794,0.6425105333328247,anger
subject 10_anger_sentence 3,subject 10_anger_sentence 3.wav,I can have you fired you know!,0.17525,0.0444999999999999,-0.04125,-0.2950946092605591,0.3587791919708252,0.4596939086914062,anger
subject 10_anger_sentence 4,subject 10_anger_sentence 4.wav,Is your coffee more important than my money?,0.4425,0.052,0.3265,-0.6137094497680664,0.6552383899688721,0.6542420387268066,anger
subject 10_anger_sentence 5,subject 10_anger_sentence 5.wav,"You're getting paid to work, not drink coffee!",0.3251666666666666,0.1145,-0.037,-0.357407808303833,0.424494981765747,0.5124306678771973,anger
subject 10_disgust_sentence 1,subject 10_disgust_sentence 1.wav,That's horrible! I'll never eat noodles again.,-0.1916,0.1149999999999999,-0.1156,-0.6474478244781494,0.2744317054748535,0.3585571050643921,disgust
subject 10_disgust_sentence 2,subject 10_disgust_sentence 2.wav,Something is moving inside my plate,0.0696,-0.0712,-0.112,0.0605778694152832,0.4346233606338501,0.4390437602996826,disgust
subject 10_disgust_sentence 3,subject 10_disgust_sentence 3.wav,Aaaaah a cockroach!!!,-0.624,0.334,-0.608,-0.3282366991043091,0.5783965587615967,0.5649721622467041,disgust
subject 10_disgust_sentence 4,subject 10_disgust_sentence 4.wav,"Eeeek, this is disgusting!!!",-0.301,0.1679999999999999,-0.191,-1.0,0.4519796371459961,0.521370530128479,disgust
subject 10_disgust_sentence 5,subject 10_disgust_sentence 5.wav,That's gross!,-0.385,0.1134999999999999,-0.319,-0.2811687588691711,0.3749387264251709,0.4540702104568481,disgust
subject 10_fear_sentence 1,subject 10_fear_sentence 1.wav,"Oh my god, there is someone in the house!",0.1676,-0.184,0.1636,-0.1265346407890319,0.280707836151123,0.3030167818069458,fear
subject 10_fear_sentence 2,subject 10_fear_sentence 2.wav,Someone is climbing up the stairs,0.1995,0.111,0.055,-0.5467098951339722,0.3057723045349121,0.3498127460479736,fear
subject 10_fear_sentence 3,subject 10_fear_sentence 3.wav,Please don't kill me...,-0.174,0.238,0.1339999999999999,-0.3734944462776184,0.0818425416946411,0.0703513622283935,fear
